Date,Portfolio Value
2021-10-08 00:00:00-04:00,249968.47677488814
2021-10-11 00:00:00-04:00,249713.29378170575
2021-10-12 00:00:00-04:00,249067.46625805553
2021-10-13 00:00:00-04:00,247910.34161132167
2021-10-14 00:00:00-04:00,249039.26979630956
2021-10-15 00:00:00-04:00,250008.83136096495
2021-10-18 00:00:00-04:00,250233.0440695473
2021-10-19 00:00:00-04:00,251246.0836876301
2021-10-20 00:00:00-04:00,252414.61337531084
2021-10-21 00:00:00-04:00,253333.5973311909
2021-10-22 00:00:00-04:00,253252.37470641587
2021-10-25 00:00:00-04:00,254070.86036098227
2021-10-26 00:00:00-04:00,254395.3275234541
2021-10-27 00:00:00-04:00,252649.63832913156
2021-10-28 00:00:00-04:00,252913.6803317212
2021-10-29 00:00:00-04:00,252835.354376945
2021-11-01 00:00:00-04:00,255506.03861107517
2021-11-02 00:00:00-04:00,256092.76809205994
2021-11-03 00:00:00-04:00,257327.19713258967
2021-11-04 00:00:00-04:00,257481.4099511982
2021-11-05 00:00:00-04:00,257133.70466382365
2021-11-08 00:00:00-05:00,258587.32148569537
2021-11-09 00:00:00-05:00,259693.99588367186
2021-11-10 00:00:00-05:00,258779.4432108188
2021-11-11 00:00:00-05:00,257902.5137154602
2021-11-12 00:00:00-05:00,257765.90342990178
2021-11-15 00:00:00-05:00,257807.03925921916
2021-11-16 00:00:00-05:00,258067.23683303557
2021-11-17 00:00:00-05:00,257058.45510242935
2021-11-18 00:00:00-05:00,255621.1855964706
2021-11-19 00:00:00-05:00,253662.81458497708
2021-11-22 00:00:00-05:00,253245.01287498517
2021-11-23 00:00:00-05:00,253373.7002845459
2021-11-24 00:00:00-05:00,254196.15299365064
2021-11-26 00:00:00-05:00,252401.37784604903
2021-11-29 00:00:00-05:00,251304.56977458164
2021-11-30 00:00:00-05:00,248918.625639389
2021-12-01 00:00:00-05:00,245434.89767553407
2021-12-02 00:00:00-05:00,245531.69863946634
2021-12-03 00:00:00-05:00,246272.88591934662
2021-12-06 00:00:00-05:00,247947.464105381
2021-12-07 00:00:00-05:00,249943.2625999736
2021-12-08 00:00:00-05:00,250874.11084250873
2021-12-09 00:00:00-05:00,252964.49688853635
2021-12-10 00:00:00-05:00,253077.16643075726
2021-12-13 00:00:00-05:00,252855.85018802364
2021-12-14 00:00:00-05:00,252158.73569045257
2021-12-15 00:00:00-05:00,252812.42652443043
2021-12-16 00:00:00-05:00,253707.27359919544
2021-12-17 00:00:00-05:00,253268.4187002354
2021-12-20 00:00:00-05:00,251229.08081672655
2021-12-21 00:00:00-05:00,252752.80723758411
2021-12-22 00:00:00-05:00,254121.7109651338
2021-12-23 00:00:00-05:00,255310.02300702222
2021-12-27 00:00:00-05:00,257737.8883795041
2021-12-28 00:00:00-05:00,259814.78474309205
2021-12-29 00:00:00-05:00,259981.52670794263
2021-12-30 00:00:00-05:00,261687.3256658905
2021-12-31 00:00:00-05:00,261471.59854448447
2022-01-03 00:00:00-05:00,262384.3629390836
2022-01-04 00:00:00-05:00,261839.87300631672
2022-01-05 00:00:00-05:00,261101.71376570847
2022-01-06 00:00:00-05:00,262144.2439918054
2022-01-07 00:00:00-05:00,261273.99257057413
2022-01-10 00:00:00-05:00,262017.75573089748
2022-01-11 00:00:00-05:00,262593.5231730709
2022-01-12 00:00:00-05:00,264367.0990740609
2022-01-13 00:00:00-05:00,263964.8245829694
2022-01-14 00:00:00-05:00,262600.9846873786
2022-01-18 00:00:00-05:00,260745.38651616444
2022-01-19 00:00:00-05:00,259603.39441536815
2022-01-20 00:00:00-05:00,257683.5963365052
2022-01-21 00:00:00-05:00,255253.11398251608
2022-01-24 00:00:00-05:00,254164.4508661366
2022-01-25 00:00:00-05:00,252687.00856534293
2022-01-26 00:00:00-05:00,251230.86699093736
2022-01-27 00:00:00-05:00,250675.36140134707
2022-01-28 00:00:00-05:00,251251.08809749153
2022-01-31 00:00:00-05:00,252752.8752087145
2022-02-01 00:00:00-05:00,255804.48735963157
2022-02-02 00:00:00-05:00,258546.6848974111
2022-02-03 00:00:00-05:00,256827.61363643693
2022-02-04 00:00:00-05:00,256377.23470068956
